Provider Number,Hospital Name,Address 1,City,State,ZIP Code,Full Address,Latitude,Longitude,County Name,Phone Number,Hospital 30-Day Death (Mortality) Rates from Heart Attack,Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Number of Patients - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Footnote - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Hospital 30-Day Death (Mortality) Rates from Heart Failure,Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Number of Patients - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Footnote - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Hospital 30-Day Death (Mortality) Rates from Pneumonia,Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Number of Patients - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Footnote - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Hospital 30-Day Readmission Rates from Heart Attack,Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Heart Attack,Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Attack,Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Attack,Number of Patients - Hospital 30-Day Readmission Rates from Heart Attack,Footnote - Hospital 30-Day Readmission Rates from Heart Attack,Hospital 30-Day Readmission Rates from Heart Failure,Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Heart Failure,Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Failure,Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Failure,Number of Patients - Hospital 30-Day Readmission Rates from Heart Failure,Footnote - Hospital 30-Day Readmission Rates from Heart Failure,Hospital 30-Day Readmission Rates from Pneumonia,Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Pneumonia,Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia,Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia,Number of Patients - Hospital 30-Day Readmission Rates from Pneumonia,Footnote - Hospital 30-Day Readmission Rates from Pneumonia
180025,FLAGET MEMORIAL HOSPITAL (MEMBER OF SAINT JOSEPH H,4305 NEW SHEPHERDSVILLE ROAD,BARDSTOWN,KY,40004,"4305 NEW SHEPHERDSVILLE ROAD, BARDSTOWN, KY, 40004",37.8614905,-85.5235647,NELSON,5023505000,16,No Different than U.S. National Rate,12.3,20.1,48,,13.9,No Different than U.S. National Rate,10.5,18.2,87,,10,No Different than U.S. National Rate,7,13.6,143,,18.6,No Different than U.S. National Rate,14.6,23.1,28,,22.9,No Different than U.S. National Rate,18.8,27.9,91,,18,No Different than U.S. National Rate,14.4,22,147,
180027,MURRAY-CALLOWAY COUNTY HOSPITAL,803 POPLAR STREET,MURRAY,KY,42071,"803 POPLAR STREET, MURRAY, KY, 42071",36.6067639,-88.3098306,CALLOWAY,2707621100,20,Worse than U.S. National Rate,16.2,24.3,68,,11.6,No Different than U.S. National Rate,8.8,14.8,226,,12.1,No Different than U.S. National Rate,9.6,15.1,362,,20.3,No Different than U.S. National Rate,16.2,25.3,36,,25.7,No Different than U.S. National Rate,21.9,30.3,233,,18.3,No Different than U.S. National Rate,15.2,21.8,353,
180029,HAZARD ARH REGIONAL MEDICAL CENTER,100 MEDICAL CENTER DRIVE,HAZARD,KY,41701,"100 MEDICAL CENTER DRIVE, HAZARD, KY, 41701",37.2781545,-83.2283495,PERRY,6064396600,17.7,No Different than U.S. National Rate,14.2,21.5,150,,11.3,No Different than U.S. National Rate,8.9,14.2,300,,13.3,No Different than U.S. National Rate,10.8,16.3,337,,20.7,No Different than U.S. National Rate,17.2,24.6,151,,28.8,Worse than U.S. National Rate,25.5,32.1,401,,24.2,Worse than U.S. National Rate,20.9,27.5,354,
180035,ST ELIZABETH MEDICAL CENTER NORTH,401 EAST 20TH STREET,COVINGTON,KY,41014,"401 EAST 20TH STREET, COVINGTON, KY, 41014",39.0672243,-84.4998094,KENTON,8592922000,12.2,Better than U.S. National Rate,10.4,14.4,687,,11.7,No Different than U.S. National Rate,10.2,13.4,1150,,10.5,No Different than U.S. National Rate,8.8,12.4,770,,20.1,No Different than U.S. National Rate,17.7,22.6,755,,24.9,No Different than U.S. National Rate,22.9,27.1,1401,,19.3,No Different than U.S. National Rate,17,21.7,810,
180036,OUR LADY OF BELLEFONTE HOSPITAL,1000 SAINT CHRISTOPHER DRIVE,ASHLAND,KY,41101,"1000 SAINT CHRISTOPHER DRIVE, ASHLAND, KY, 41101",38.5078791,-82.6929736,GREENUP,6068333600,13.9,No Different than U.S. National Rate,10.7,17.5,125,,11,No Different than U.S. National Rate,8.8,13.8,367,,12.2,No Different than U.S. National Rate,9.9,15.2,417,,20,No Different than U.S. National Rate,16.5,24.2,90,,25.9,No Different than U.S. National Rate,22.8,29.2,445,,20.3,No Different than U.S. National Rate,17.4,23.3,443,
180038,OWENSBORO MEDICAL HEALTH SYSTEM,811 EAST PARRISH AVENUE,OWENSBORO,KY,42303,"811 EAST PARRISH AVENUE, OWENSBORO, KY, 42303",37.7662577,-87.1006021,DAVIESS,5026882000,15.1,No Different than U.S. National Rate,12.6,18,512,,9.5,Better than U.S. National Rate,7.8,11.3,861,,9.6,Better than U.S. National Rate,7.9,11.9,556,,19.2,No Different than U.S. National Rate,16.6,22.1,510,,19.3,Better than U.S. National Rate,17.2,21.7,1081,,14.3,Better than U.S. National Rate,12.3,16.9,607,
180040,JEWISH HOSPITAL & ST MARY'S HEALTHCARE,200 ABRAHAM FLEXNER WAY,LOUISVILLE,KY,40202,"200 ABRAHAM FLEXNER WAY, LOUISVILLE, KY, 40202",38.2488648,-85.7509192,JEFFERSON,5025874011,14.9,No Different than U.S. National Rate,12.9,17.2,828,,10.5,No Different than U.S. National Rate,9,12,1367,,11.7,No Different than U.S. National Rate,10.1,13.5,1112,,22,No Different than U.S. National Rate,19.7,24.5,971,,26.2,No Different than U.S. National Rate,24.2,28.2,1659,,20.2,No Different than U.S. National Rate,18.2,22.4,1148,
180043,MEMORIAL HOSPITAL,210 MARIE LANGDON DRIVE,MANCHESTER,KY,40962,"210 MARIE LANGDON DRIVE, MANCHESTER, KY, 40962",37.1621220,-83.7620857,CLAY,6065985104,15.6,No Different than U.S. National Rate,12.1,19.8,45,,10.7,No Different than U.S. National Rate,7.9,14.2,149,,10.9,No Different than U.S. National Rate,8.2,14.4,231,,20.6,No Different than U.S. National Rate,16.4,25.4,31,,27,No Different than U.S. National Rate,23.3,30.9,209,,21.5,No Different than U.S. National Rate,18,25,240,
180044,PIKEVILLE MEDICAL CENTER,911 BYPASS ROAD,PIKEVILLE,KY,41501,"911 BYPASS ROAD, PIKEVILLE, KY, 41501",37.4723833,-82.5229031,PIKE,6062183500,19,No Different than U.S. National Rate,15.2,23.2,210,,10.4,No Different than U.S. National Rate,8,13.4,330,,14.9,Worse than U.S. National Rate,12.1,18.2,335,,21,No Different than U.S. National Rate,17.5,25,228,,24.8,No Different than U.S. National Rate,21.7,28.2,436,,20.6,No Different than U.S. National Rate,17.5,23.9,350,
180045,ST ELIZABETH FLORENCE,4900 HOUSTON ROAD,FLORENCE,KY,41042,"4900 HOUSTON ROAD, FLORENCE, KY, 41042",39.0161547,-84.6315615,BOONE,8592125220,14.8,No Different than U.S. National Rate,11.7,18.1,145,,11.4,No Different than U.S. National Rate,8.9,14.6,216,,10.2,No Different than U.S. National Rate,7.5,13.7,185,,21.9,No Different than U.S. National Rate,18.3,25.7,122,,27.6,No Different than U.S. National Rate,24,31.5,256,,20.3,No Different than U.S. National Rate,17.1,23.8,193,
180046,BOURBON COMMUNITY HOSPITAL,9 LINVILLE DRIVE,PARIS,KY,40361,"9 LINVILLE DRIVE, PARIS, KY, 40361",38.2218824,-84.2387462,BOURBON,8599873600,Not Available,Number of Cases Too Small,Not Available,Not Available,18,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,11.9,No Different than U.S. National Rate,8.4,16,65,,10.5,No Different than U.S. National Rate,7.3,14.9,91,,Not Available,Number of Cases Too Small,Not Available,Not Available,9,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,23.3,No Different than U.S. National Rate,19.1,28.1,87,,19.5,No Different than U.S. National Rate,15.7,24.2,98,
180048,EPHRAIM MCDOWELL REGIONAL MEDICAL CENTER,217 SOUTH THIRD STREET,DANVILLE,KY,40422,"217 SOUTH THIRD STREET, DANVILLE, KY, 40422",37.6442381,-84.7732703,BOYLE,8592392409,12.3,Better than U.S. National Rate,9.8,15.4,226,,11.6,No Different than U.S. National Rate,9.1,14.8,312,,12.3,No Different than U.S. National Rate,9.9,15,457,,17.6,No Different than U.S. National Rate,14.2,21.5,180,,25.6,No Different than U.S. National Rate,22.1,29.3,377,,20.7,No Different than U.S. National Rate,17.9,23.6,524,
180049,PATTIE A CLAY REGIONAL MEDICAL CENTER,801 EASTERN BYPASS,RICHMOND,KY,40475,"801 EASTERN BYPASS, RICHMOND, KY, 40475",37.7307718,-84.2923922,MADISON,8596233131,18.1,No Different than U.S. National Rate,14,22.7,58,,14.6,No Different than U.S. National Rate,11,19.1,127,,13.9,No Different than U.S. National Rate,10.4,18.2,164,,19.7,No Different than U.S. National Rate,15.9,24.4,46,,26.3,No Different than U.S. National Rate,22.2,30.7,138,,16.9,No Different than U.S. National Rate,13.6,21,167,
180050,HARLAN APPALACHIAN REGIONAL HEALTHCARE HOSPITAL,81 BALL PARK ROAD,HARLAN,KY,40831,"81 BALL PARK ROAD, HARLAN, KY, 40831",36.8093547,-83.3135441,HARLAN,6065738100,17.2,No Different than U.S. National Rate,13.2,22.2,42,,11.2,No Different than U.S. National Rate,8.4,14.7,206,,12,No Different than U.S. National Rate,9.2,15.5,261,,Not Available,Number of Cases Too Small,Not Available,Not Available,14,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,31.4,Worse than U.S. National Rate,27.3,35.5,293,,23.9,Worse than U.S. National Rate,19.9,27.6,282,
180051,JENNIE STUART MEDICAL CENTER,320 WEST 18TH STREET,HOPKINSVILLE,KY,42240,"320 WEST 18TH STREET, HOPKINSVILLE, KY, 42240",36.8611126,-87.4955476,CHRISTIAN,2708870100,17.9,No Different than U.S. National Rate,13.8,22.4,52,,10.7,No Different than U.S. National Rate,8.3,14.1,202,,16.6,Worse than U.S. National Rate,14.2,19.4,455,,21.2,No Different than U.S. National Rate,17.1,26,39,,25.4,No Different than U.S. National Rate,21.6,29.5,234,,21,No Different than U.S. National Rate,17.9,24.2,435,
180053,FLEMING COUNTY HOSPITAL,55 FOUNDATION DRIVE,FLEMINGSBURG,KY,41041,"55 FOUNDATION DRIVE, FLEMINGSBURG, KY, 41041",38.4218509,-83.7520783,FLEMING,6068492351,Not Available,Number of Cases Too Small,Not Available,Not Available,15,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,10.5,No Different than U.S. National Rate,7.6,14.1,138,,12.1,No Different than U.S. National Rate,9.1,15.9,238,,Not Available,Number of Cases Too Small,Not Available,Not Available,8,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,25.6,No Different than U.S. National Rate,21.9,30,173,,22.7,Worse than U.S. National Rate,18.9,26.4,253,
180056,METHODIST HOSPITAL,1305 N ELM ST,HENDERSON,KY,42420,"1305 N ELM ST, HENDERSON, KY, 42420",37.8550429,-87.5834517,HENDERSON,2708277700,15.2,No Different than U.S. National Rate,11.5,19.6,55,,11.5,No Different than U.S. National Rate,9.1,14.5,283,,11.3,No Different than U.S. National Rate,9.2,13.9,457,,20.3,No Different than U.S. National Rate,16.2,25.5,42,,26.5,No Different than U.S. National Rate,22.9,30.1,346,,21,No Different than U.S. National Rate,18,24.2,495,
180064,SAINT JOSEPH MOUNT STERLING,225 FALCON DRIVE,MOUNT STERLING,KY,40353,"225 FALCON DRIVE, MOUNT STERLING, KY, 40353",38.0771193,-83.9452682,MONTGOMERY,8594981220,Not Available,Number of Cases Too Small,Not Available,Not Available,22,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,12.3,No Different than U.S. National Rate,9,16.6,98,,14.5,No Different than U.S. National Rate,11.1,18.8,203,,Not Available,Number of Cases Too Small,Not Available,Not Available,16,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,22.6,No Different than U.S. National Rate,18.6,27.3,111,,17.6,No Different than U.S. National Rate,14.3,21.3,212,
180066,LOGAN MEMORIAL HOSPITAL,1625 NASHVILLE STREET,RUSSELLVILLE,KY,42276,"1625 NASHVILLE STREET, RUSSELLVILLE, KY, 42276",36.8162622,-86.8814799,LOGAN,2707264011,Not Available,Number of Cases Too Small,Not Available,Not Available,13,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,9.5,No Different than U.S. National Rate,6.9,12.9,154,,12.3,No Different than U.S. National Rate,9.6,15.9,331,,Not Available,Number of Cases Too Small,Not Available,Not Available,9,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,24.9,No Different than U.S. National Rate,20.9,29.3,172,,18.8,No Different than U.S. National Rate,15.8,22.3,362,
180067,UNIVERSITY OF KENTUCKY HOSPITAL,"HOSPITAL ADMINISTRATION, 800 ROSE STREET, N100",LEXINGTON,KY,40536,"HOSPITAL ADMINISTRATION, 800 ROSE STREET, N100, LEXINGTON, KY, 40536",38.0329054,-84.5067373,FAYETTE,8593235220,18.9,No Different than U.S. National Rate,15.3,23.1,226,,14.4,No Different than U.S. National Rate,11.1,18.5,222,,14.5,No Different than U.S. National Rate,11.7,18.1,231,,22.8,No Different than U.S. National Rate,19.1,26.7,244,,26.1,No Different than U.S. National Rate,22.7,29.6,312,,19.6,No Different than U.S. National Rate,16.4,23,252,
180069,WILLIAMSON ARH HOSPITAL,260 HOSPITAL DRIVE,SOUTH WILLIAMSON,KY,41503,"260 HOSPITAL DRIVE, SOUTH WILLIAMSON, KY, 41503",37.6769029,-82.2966832,PIKE,6062371700,Not Available,Number of Cases Too Small,Not Available,Not Available,22,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,10.9,No Different than U.S. National Rate,7.9,14.7,133,,9.9,No Different than U.S. National Rate,7.2,13.3,164,,Not Available,Number of Cases Too Small,Not Available,Not Available,11,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,30.4,Worse than U.S. National Rate,25.6,34.9,172,,22.3,No Different than U.S. National Rate,18.4,26.5,168,
18006F,LOUISVILLE VA MEDICAL CENTER,800 ZORN AVENUE,LOUISVILLE                    ,KY,40206,"800 ZORN AVENUE, LOUISVILLE                    , KY, 40206",38.2702402,-85.6969907,JEFFERSON,5022874000,16.4,No Different than U.S. National Rate,12.8,20.8,150,,12.3,No Different than U.S. National Rate,9.6,15.7,294,,15.5,Worse than U.S. National Rate,12.3,19.3,262,,21.9,No Different than U.S. National Rate,18,26.5,152,,23.2,No Different than U.S. National Rate,19.9,26.7,372,,18.6,No Different than U.S. National Rate,15.5,22,302,
180070,TWIN LAKES REGIONAL MEDICAL CENTER,910 WALLACE AVENUE,LEITCHFIELD,KY,42754,"910 WALLACE AVENUE, LEITCHFIELD, KY, 42754",37.4730561,-86.2891710,GRAYSON,2702599400,Not Available,Number of Cases Too Small,Not Available,Not Available,24,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,12.9,No Different than U.S. National Rate,9.5,17.1,86,,10.8,No Different than U.S. National Rate,8.4,13.5,278,,Not Available,Number of Cases Too Small,Not Available,Not Available,13,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,25.6,No Different than U.S. National Rate,21.2,30.4,89,,17.2,No Different than U.S. National Rate,14.5,20.6,285,
180078,PAUL B HALL REGIONAL MEDICAL CENTER,"625 JAMES S TRIMBLE BOULEVARD, P O BOX 1848",PAINTSVILLE,KY,41240,"625 JAMES S TRIMBLE BOULEVARD, P O BOX 1848, PAINTSVILLE, KY, 41240",37.8154761,-82.8131085,JOHNSON,6067893511,Not Available,Number of Cases Too Small,Not Available,Not Available,16,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,12.6,No Different than U.S. National Rate,9.4,16.3,128,,13.1,No Different than U.S. National Rate,10.3,16.2,310,,Not Available,Number of Cases Too Small,Not Available,Not Available,6,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,26.3,No Different than U.S. National Rate,22.3,30.9,145,,20,No Different than U.S. National Rate,17,23.2,325,
180079,HARRISON MEMORIAL HOSPITAL,1210 KY HWY 36 E,CYNTHIANA,KY,41031,"1210 KY HWY 36 E, CYNTHIANA, KY, 41031",38.3833638,-84.2775865,HARRISON,8592342300,Not Available,Number of Cases Too Small,Not Available,Not Available,22,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,13.6,No Different than U.S. National Rate,10.1,18.3,104,,17.4,Worse than U.S. National Rate,14,21.6,295,,Not Available,Number of Cases Too Small,Not Available,Not Available,15,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,28.3,No Different than U.S. National Rate,23.4,33.6,112,,17.9,No Different than U.S. National Rate,14.9,21.4,331,
18007F,LEXINGTON-LEESTOWN VA MEDICAL CENTER,2250 LEESTOWN RD,LEXINGTON                     ,KY,40511,"2250 LEESTOWN RD, LEXINGTON                     , KY, 40511",38.0726292,-84.5392558,FAYETTE,8592334511,14.8,No Different than U.S. National Rate,11.5,18.7,196,,12.9,No Different than U.S. National Rate,10.3,16,328,,16.9,Worse than U.S. National Rate,14.2,20.1,409,,20.1,No Different than U.S. National Rate,16.6,24,232,,25.6,No Different than U.S. National Rate,22.6,28.8,451,,20.2,No Different than U.S. National Rate,17.1,23.3,473,
180080,BAPTIST REGIONAL MEDICAL CENTER,ONE TRILLIUM WAY,CORBIN,KY,40701,"ONE TRILLIUM WAY, CORBIN, KY, 40701",36.9226843,-84.1202934,KNOX,6065281212,18.8,No Different than U.S. National Rate,15.1,23.2,136,,9.8,No Different than U.S. National Rate,7.4,12.5,276,,14.2,No Different than U.S. National Rate,11.6,17.1,443,,19,No Different than U.S. National Rate,15.3,23.1,66,,24.4,No Different than U.S. National Rate,21.1,27.8,309,,18.6,No Different than U.S. National Rate,15.9,21.6,450,
180087,TAYLOR REGIONAL HOSPITAL,1700 OLD LEBANON ROAD,CAMPBELLSVILLE,KY,42718,"1700 OLD LEBANON ROAD, CAMPBELLSVILLE, KY, 42718",37.3661684,-85.3378501,TAYLOR,2704653561,15.3,No Different than U.S. National Rate,11.8,19.6,53,,10.6,No Different than U.S. National Rate,7.9,14,155,,10.4,No Different than U.S. National Rate,8.1,13.4,279,,19.4,No Different than U.S. National Rate,15.4,24,29,,25.9,No Different than U.S. National Rate,21.9,29.9,173,,19.1,No Different than U.S. National Rate,16.1,22.7,291,
180088,"NORTON HOSPITALS, INC",200 EAST CHESTNUT STREET,LOUISVILLE,KY,40202,"200 EAST CHESTNUT STREET, LOUISVILLE, KY, 40202",38.2477538,-85.7507854,JEFFERSON,5026296560,15.2,No Different than U.S. National Rate,13.2,17.4,761,,10.6,No Different than U.S. National Rate,9.2,12,1439,,10.8,No Different than U.S. National Rate,9.3,12.3,1274,,20.3,No Different than U.S. National Rate,17.8,23,740,,24.1,No Different than U.S. National Rate,22.3,26.1,1726,,19.2,No Different than U.S. National Rate,17.4,21.2,1342,
180092,CLARK REGIONAL MEDICAL CENTER,1107 WEST LEXINGTON AVENUE,WINCHESTER,KY,40391,"1107 WEST LEXINGTON AVENUE, WINCHESTER, KY, 40391",38.0014637,-84.1954175,CLARK,8597453500,13.8,No Different than U.S. National Rate,10.6,17.5,33,,12,No Different than U.S. National Rate,8.8,16.2,79,,9.1,No Different than U.S. National Rate,6.6,12.5,204,,Not Available,Number of Cases Too Small,Not Available,Not Available,23,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,22.3,No Different than U.S. National Rate,18.4,27.1,102,,17.5,No Different than U.S. National Rate,14.3,21.1,234,
180093,REGIONAL MEDICAL CENTER OF HOPKINS COUNTY,900 HOSPITAL DRIVE,MADISONVILLE,KY,42431,"900 HOSPITAL DRIVE, MADISONVILLE, KY, 42431",37.3396916,-87.4927765,HOPKINS,2708255100,18.1,No Different than U.S. National Rate,14.9,21.6,283,,12.7,No Different than U.S. National Rate,10.1,15.6,341,,12.4,No Different than U.S. National Rate,10.1,15,440,,18.7,No Different than U.S. National Rate,15.8,22.3,262,,22.9,No Different than U.S. National Rate,20,26.3,416,,17.1,No Different than U.S. National Rate,14.7,20,458,
180095,CRITTENDEN HEALTH SYSTEM,520 WEST GUM STREET,MARION,KY,42064,"520 WEST GUM STREET, MARION, KY, 42064",37.3290102,-88.0928239,CRITTENDEN,2709655281,15.2,No Different than U.S. National Rate,11.6,19.5,33,,10.9,No Different than U.S. National Rate,7.9,15,108,,11.6,No Different than U.S. National Rate,8.6,15.5,179,,Not Available,Number of Cases Too Small,Not Available,Not Available,21,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,27,No Different than U.S. National Rate,22.4,32,120,,20.7,No Different than U.S. National Rate,16.8,24.9,204,
180101,GEORGETOWN COMMUNITY HOSPITAL,1140 LEXINGTON ROAD,GEORGETOWN,KY,40324,"1140 LEXINGTON ROAD, GEORGETOWN, KY, 40324",38.1866439,-84.5612931,SCOTT,5028681100,Not Available,Number of Cases Too Small,Not Available,Not Available,6,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,12.7,No Different than U.S. National Rate,9.2,17.5,57,,13.9,No Different than U.S. National Rate,10.3,18.3,109,,Not Available,Number of Cases Too Small,Not Available,Not Available,4,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,24.7,No Different than U.S. National Rate,20.1,29.9,61,,19,No Different than U.S. National Rate,15.2,23.3,114,
180102,LOURDES HOSPITAL,1530 LONE OAK ROAD,PADUCAH,KY,42001,"1530 LONE OAK ROAD, PADUCAH, KY, 42001",37.0518119,-88.6476505,MCCRACKEN,2704442444,16.8,No Different than U.S. National Rate,13.4,20.5,227,,13,No Different than U.S. National Rate,10.8,15.8,480,,11.7,No Different than U.S. National Rate,9.5,14.4,471,,18.4,No Different than U.S. National Rate,15.3,22.3,233,,26.2,No Different than U.S. National Rate,23.1,29.1,542,,19.6,No Different than U.S. National Rate,16.8,22.5,485,
180103,CENTRAL BAPTIST HOSPITAL,1740 NICHOLASVILLE ROAD,LEXINGTON,KY,40503,"1740 NICHOLASVILLE ROAD, LEXINGTON, KY, 40503",38.0181544,-84.5119903,FAYETTE,8592606100,13.2,No Different than U.S. National Rate,10.6,16.2,443,,12,No Different than U.S. National Rate,9.4,15.2,376,,11.1,No Different than U.S. National Rate,9,13.7,506,,20.5,No Different than U.S. National Rate,17.9,23.1,700,,23.4,No Different than U.S. National Rate,20.6,26.5,530,,18.5,No Different than U.S. National Rate,15.8,21.5,520,
180104,WESTERN BAPTIST HOSPITAL,2501 KENTUCKY AVENUE,PADUCAH,KY,42003,"2501 KENTUCKY AVENUE, PADUCAH, KY, 42003",37.0741270,-88.6269737,MCCRACKEN,2705752300,15.7,No Different than U.S. National Rate,13.2,18.6,468,,12.4,No Different than U.S. National Rate,10.4,14.9,663,,11.3,No Different than U.S. National Rate,9.3,13.6,568,,19.7,No Different than U.S. National Rate,16.9,22.9,477,,26,No Different than U.S. National Rate,23.4,28.6,851,,19,No Different than U.S. National Rate,16.5,21.8,572,
180105,MONROE COUNTY MEDICAL CENTER,529 CAPP HARLAN ROAD,TOMPKINSVILLE,KY,42167,"529 CAPP HARLAN ROAD, TOMPKINSVILLE, KY, 42167",36.6987974,-85.6763944,MONROE,2704879231,16.9,No Different than U.S. National Rate,13.4,20.9,37,,10.4,No Different than U.S. National Rate,7.8,13.7,177,,12.2,No Different than U.S. National Rate,9.3,15.9,204,,Not Available,Number of Cases Too Small,Not Available,Not Available,20,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,27.1,No Different than U.S. National Rate,23,31.3,228,,23.8,Worse than U.S. National Rate,19.4,28.3,218,
180106,"CLINTON COUNTY HOSPITAL, INC",723 BURKESVILLE ROAD,ALBANY,KY,42602,"723 BURKESVILLE ROAD, ALBANY, KY, 42602",36.6981857,-85.1474635,CLINTON,6063876421,Not Available,Number of Cases Too Small,Not Available,Not Available,18,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,11.3,No Different than U.S. National Rate,8.1,15.2,97,,13.3,No Different than U.S. National Rate,9.8,18.2,167,,Not Available,Number of Cases Too Small,Not Available,Not Available,13,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,29,No Different than U.S. National Rate,24.4,34.3,122,,21.4,No Different than U.S. National Rate,17.4,25.7,170,
180115,ROCKCASTLE REG HOSPITAL & RESPIRATORY CARE CTR,"145 NEWCOMB AVENUE, P O BOX 1310",MOUNT VERNON,KY,40456,"145 NEWCOMB AVENUE, P O BOX 1310, MOUNT VERNON, KY, 40456",37.3572443,-84.3363745,ROCKCASTLE,6062562195,Not Available,Number of Cases Too Small,Not Available,Not Available,12,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,12.1,No Different than U.S. National Rate,8.5,16.8,51,,16.6,Worse than U.S. National Rate,12.7,21.6,172,,Not Available,Number of Cases Too Small,Not Available,Not Available,8,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,24.2,No Different than U.S. National Rate,19.7,29.3,64,,22.1,No Different than U.S. National Rate,17.9,26.4,173,
180116,JACKSON PURCHASE MEDICAL CENTER,1099 MEDICAL CENTER CIRCLE,MAYFIELD,KY,42066,"1099 MEDICAL CENTER CIRCLE, MAYFIELD, KY, 42066",36.7587971,-88.6513871,GRAVES,2702514500,16.5,No Different than U.S. National Rate,12.8,20.9,59,,13,No Different than U.S. National Rate,10.1,16.9,188,,12.9,No Different than U.S. National Rate,10.9,15.3,493,,19.7,No Different than U.S. National Rate,15.6,24.4,36,,25.9,No Different than U.S. National Rate,22,30.2,208,,18.8,No Different than U.S. National Rate,16.3,21.7,521,
180117,PARKWAY REGIONAL HOSPITAL,2000 HOLIDAY LANE,FULTON,KY,42041,"2000 HOLIDAY LANE, FULTON, KY, 42041",36.5185568,-88.8964690,FULTON,2704722522,Not Available,Number of Cases Too Small,Not Available,Not Available,8,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,9.8,No Different than U.S. National Rate,6.9,13.8,55,,13.1,No Different than U.S. National Rate,9.7,17.2,145,,Not Available,Number of Cases Too Small,Not Available,Not Available,6,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,27.1,No Different than U.S. National Rate,22,32.8,62,,18.8,No Different than U.S. National Rate,15.3,23.2,145,
180124,GREENVIEW REGIONAL HOSPITAL,1801 ASHLEY CIRCLE,BOWLING GREEN,KY,42104,"1801 ASHLEY CIRCLE, BOWLING GREEN, KY, 42104",36.9648425,-86.4367880,WARREN,2707931000,15.9,No Different than U.S. National Rate,12.1,20.6,49,,14,No Different than U.S. National Rate,10.8,18.5,165,,16.1,Worse than U.S. National Rate,12.4,20.9,206,,19.7,No Different than U.S. National Rate,15.6,24.6,40,,25,No Different than U.S. National Rate,20.9,29.5,186,,18.9,No Different than U.S. National Rate,15.5,22.7,213,
